	Unnamed: 0	type_of_house	living_space	number_of_rooms	rent	construction_year	street	zipcode	region	tag	latitude	longitude
121	121		23	1.0	405	1920	Westanlage 20	35390	Gießen, Gießen (Kreis)	/expose/114546670	50.5849	50.5849
122	122	Etagenwohnung	17	1.0	830		Schleiermacherstraße 10	60316	Frankfurt, Nordend-Ost	/expose/114534602	50.122949	50.122949
123	123		30	1.0	590	1968	Rohrbachstrasse 37	60389	Frankfurt am Main, Nordend-Ost	/expose/114548535	50.127993599999996	50.127993599999996
124	124		30	1.0	565		Theobald-Christ-Straße 11	60316	Frankfurt am Main, Ostend	/expose/114550244	50.1139623	50.1139623
125	125	Dachgeschoss	60	1.0	930	1900	Auf der Beun -	65933	Frankfurt, Griesheim	/expose/114546281	50.0923876	50.0923876
126	126	Etagenwohnung	23	1.0	630	unbekannt	Bahnhofplatz 2	55116	Mainz, Altstadt	/expose/114543229	50.001195	50.001195
127	127	Etagenwohnung	38	1.0	919	1970		55116	Mainz, Altstadt	/expose/114550318	50.002218400000004	50.002218400000004
128	128	Etagenwohnung	16	1.0	800		Schleiermacherstraße 10	60316	Frankfurt, Nordend-Ost	/expose/114534601	50.122949	50.122949
129	129	Etagenwohnung	48	1.0	1050	2014	Gerbermühlstraße 25	60594	Frankfurt am Main, Sachsenhausen-Nord	/expose/114556984	50.104569399999995	50.104569399999995
130	130	Erdgeschosswohnung	27	1.0	417	1967		63303	Dreieich, Offenbach (Kreis)	/expose/114538815	18.78378	18.78378
131	131		21	1.0	560	1960	Berger Strasse 128	60385	Frankfurt am Main, Bornheim	/expose/114548392	50.1231972	50.1231972
132	132		26	1.0	765		Gräfstraße 76	60486	Francoforte, Westend-Süd	/expose/114541249	50.11651	50.11651
133	133	Erdgeschosswohnung	21	1.0	590			60438	Frankfurt am Main, Riedberg	/expose/114548138	50.1766221	50.1766221
134	134	Etagenwohnung	38	1.0	899	unbekannt	Bahnhofplatz 2	55116	Mainz, Altstadt	/expose/114543237	50.001195	50.001195
135	135	Etagenwohnung	38	1.0	580		Beienheimer Str. 10	61169	Friedberg, Friedberg (Hessen)	/expose/114544558	50.3303	50.3303
136	136	Etagenwohnung	36	1.0	819	1970		55116	Mainz, Altstadt	/expose/114543226	50.002218400000004	50.002218400000004
137	137		30	1.0	680	1968	Rohrbachstrasse 37	60389	Frankfurt am Main, Nordend-Ost	/expose/114548440	50.127993599999996	50.127993599999996
138	138	Etagenwohnung	35	1.0	850	1970		55116	Mainz, Altstadt	/expose/114543235	50.002218400000004	50.002218400000004
139	139	Dachgeschoss	25	1.0	525		Heidelberger Straße 81B	64285	Darmstadt, Bessungen	/expose/114551290	49.858835299999996	49.858835299999996
140	140		320	5.0	5600			60599	Frankfurt am Main, Oberrad	/expose/109600533	50.100008	50.100008
141	141	Maisonette	321	5.0	5500	1956		60311	Frankfurt, Altstadt	/expose/114088877	50.1104421	50.1104421
142	142	Maisonette	600	15.0	13400	1900	Auf der Körnerwiese 17-19	60322	Frankfurt am Main, Westend-Nord	/expose/98567656	50.1228066	50.1228066
143	143	Etagenwohnung	340	11.0	3220	1984	Karl Herrmann Flach Str. 15a	61440	Oberursel, Oberursel (Taunus)	/expose/113652947	50.1973	50.1973
144	144	Etagenwohnung	321	5.0	5470	1956		60311	Frankfurt, Altstadt	/expose/114481259	50.1104421	50.1104421
145	145	Etagenwohnung	405		11700	2019		60487	Frankfurt am Main, Bockenheim	/expose/113651405	50.1223606	50.1223606
146	146	Penthouse	267	4.0	4050	2005		60320	Frankfurt am Main, Dornbusch	/expose/114457849	50.1471704	50.1471704
147	147	Etagenwohnung	320	9.0	7600	1900	Auf der Körnerwiese 17-19	60322	Frankfurt am Main, Westend-Nord	/expose/89886750	50.1228066	50.1228066
148	148		261		7370	2017		60325	Frankfurt am Main, Westend-Süd	/expose/114458111	50.1152448	50.1152448
149	149	Etagenwohnung	276	4.0	4190	2007		60320	Frankfurt, Westend-Nord	/expose/114481258	50.1263563	50.1263563
150	150	Maisonette	280		6500			60599	Frankfurt am Main, Sachsenhausen-Süd	/expose/113324779	50.070781200000006	50.070781200000006
151	151	Penthouse	312	5.0	9350	2002		60323	Frankfurt am Main, Westend-Süd	/expose/114458274	50.1152448	50.1152448
152	152	Penthouse	250	6.0	3895	1985		60431	Frankfurt, Eschersheim	/expose/114526448	50.1612049	50.1612049
153	153	Maisonette	277	8.0	5450	1913		65812	Bad Soden, Bad Soden am Taunus	/expose/113165975	50.14291420000001	50.14291420000001
154	154	Etagenwohnung	250	7.0	5400			60325	Frankfurt am Main, Westend-Süd	/expose/114458148	50.1152448	50.1152448
155	155	Etagenwohnung	285	5.0	3800			63303	Dreieich, Offenbach (Kreis)	/expose/114089609	18.78378	18.78378
156	156	Maisonette	317	6.0	6750	1906		61476	Kronberg, Kronberg im Taunus	/expose/114217070	50.190833700000006	50.190833700000006
157	157		257		6770	2017		60325	Frankfurt am Main, Westend-Süd	/expose/114458013	50.1152448	50.1152448
158	158	Penthouse	267	4.0	4050	2005		60320	Frankfurt am Main, Westend-Nord	/expose/114457882	50.1263563	50.1263563
159	159	Penthouse	601	6.0	20588	unbekannt	Hochstraße 42-46	60322	Frankfurt am Main, Innenstadt	/expose/114421851	50.1168752	50.1168752
160	160	Etagenwohnung	12	1.0	760		Braubachstraße 25	60311	Frankfurt, Altstadt	/expose/114534422	50.1112191	50.1112191
161	161	Etagenwohnung	15	1.0	790		Schleiermacherstraße 10	60316	Frankfurt, Nordend-Ost	/expose/114533901	50.122949	50.122949
162	162	Etagenwohnung	11	1.0	750		Schleiermacherstraße 10	60316	Frankfurt, Nordend-Ost	/expose/114010296	50.122949	50.122949
163	163	Etagenwohnung	15	1.0	790		Schleiermacherstraße 10	60316	Frankfurt, Nordend-Ost	/expose/114010375	50.122949	50.122949
164	164	Etagenwohnung	13	1.0	760		Schleiermacherstraße 10	60316	Frankfurt, Nordend-Ost	/expose/114534599	50.122949	50.122949
165	165	Etagenwohnung	16	1.0	730		Kleine Rittergasse 43	60594	Frankfurt, Sachsenhausen-Nord	/expose/114534532	50.105334899999995	50.105334899999995
166	166	Etagenwohnung	12	1.0	770		Schleiermacherstraße 10	60316	Frankfurt, Nordend-Ost	/expose/114533912	50.122949	50.122949
167	167	Etagenwohnung	10	1.0	620		Münchener Straße 55	60329	Frankfurt, Bahnhofsviertel	/expose/114534257	50.1067773	50.1067773
168	168	Etagenwohnung	16	1.0	800		Schleiermacherstraße 10	60316	Frankfurt, Nordend-Ost	/expose/114534601	50.122949	50.122949
169	169	Etagenwohnung	15	1.0	740		Mainzer Landstraße 258	60389	Frankfurt, Gallusviertel	/expose/114534037	50.1029805	50.1029805
170	170	Etagenwohnung	15	1.0	790		Schleiermacherstraße 10	60316	Frankfurt, Nordend-Ost	/expose/114079184	50.122949	50.122949
171	171	Etagenwohnung	12	1.0	679	2019		60486	Frankfurt am Main, Westend-Süd	/expose/114044791	50.1152448	50.1152448
172	172	Etagenwohnung	14	1.0	590	1989	Hausener Weg 120	60488	Frankfurt am Main, Hausen	/expose/111890933	50.1327372	50.1327372
173	173	Etagenwohnung	13	1.0	780		Wallstraße 26	60594	Frankfurt, Sachsenhausen-Nord	/expose/114534431	50.105358700000004	50.105358700000004
174	174	Etagenwohnung	12	1.0	770		Schleiermacherstraße 10	60316	Frankfurt, Nordend-Ost	/expose/114010287	50.122949	50.122949
175	175	Etagenwohnung	13	1.0	770		Schleiermacherstraße 10	60316	Frankfurt, Nordend-Ost	/expose/114533870	50.122949	50.122949
176	176	Etagenwohnung	11	1.0	750		Schleiermacherstraße 10	60316	Frankfurt, Nordend-Ost	/expose/114533828	50.122949	50.122949
177	177	Etagenwohnung	11	1.0	750		Braubachstraße 25	60311	Frankfurt, Altstadt	/expose/114534397	50.1112191	50.1112191
178	178	Etagenwohnung	15	1.0	740		Petterweilstraße 31	60385	Frankfurt, Nordend-Ost	/expose/114534373	50.12597	50.12597
179	179	Sonstige	15	1.0	650		Mittlerer Hasenpfad 37	60598	Frankfurt am Main, Sachsenhausen-Süd	/expose/114515278	50.094817	50.094817
180	180	Etagenwohnung	202	5.0	3350	1720		60528	Frankfurt, Niederrad	/expose/114554492	50.0870527	50.0870527
181	181	Etagenwohnung	138		1980	2001		65812	Bad Soden, Bad Soden am Taunus	/expose/114550189	50.14291420000001	50.14291420000001
182	182	Etagenwohnung	84	3.0	1360			60388	Frankfurt am Main, Bergen-Enkheim	/expose/114553753	50.1580146	50.1580146
183	183	Etagenwohnung	54	2.0	565	1955	Waldschmidtstraße 85	60314	Frankfurt am Main, Ostend	/expose/114557243	50.1169599	50.1169599
